candidate_hs4,candidate_product_name_short,anchor_count,anchors
0407,"Eggs, in shell",5,"0504 - Animal guts, except fish; 1704 - Confectionery sugar; 2309 - Animal feed; 2522 - Quicklime; 6809 - Plaster articles"
0507,Whalebone & horns,5,0510 - Animal products used in pharmaceuticals; 1005 - Corn; 1007 - Grain sorghum; 1521 - Vegetable waxes and beeswax; 5201 - Raw cotton
0508,Coral and shells,5,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 0307 - Molluscs; 2301 - Flours of fish, for animal feed"
0702,Tomatoes,5,0806 - Grapes; 0808 - Apples & pears; 0809 - Peaches & cherries; 0814 - Peel of citrus fruit or melons; 3103 - Phosphatic fertilizers
0706,Carrots & turnips,5,"0504 - Animal guts, except fish; 0703 - Onions, shallots, garlic; 0806 - Grapes; 0809 - Peaches & cherries; 2102 - Yeasts"
0707,Cucumbers,5,"0806 - Grapes; 0808 - Apples & pears; 0809 - Peaches & cherries; 0909 - Anise, fennel, etc.; 2607 - Lead ore"
0807,Melons and papayas,5,"0703 - Onions, shallots, garlic; 0711 - Vegetables, provisionally preserved; 0805 - Citrus fruit; 0814 - Peel of citrus fruit or melons; 1301 - Lac"
0904,Pepper,5,"0306 - Crustaceans; 0812 - Fruits and nuts, provisionally preserved; 0902 - Tea; 1202 - Peanuts; 1301 - Lac"
1211,"Plants used in perfumery, pharmacy or insecticide",5,"0713 - Legumes, dried; 2302 - Cereal residues; 3301 - Essential oils; 4104 - Tanned hides of bovines or equines; 7108 - Gold"
1404,Vegetable products n.e.c.,5,"0713 - Legumes, dried; 0812 - Fruits and nuts, provisionally preserved; 1008 - Other cereals; 3301 - Essential oils; 5201 - Raw cotton"
1516,"Vegetable fats, hydrogenated",5,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 1517 - Margarine; 1519 - Stearic acid"
1604,Prepared or preserved fish,5,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 0307 - Molluscs; 2301 - Flours of fish, for animal feed"
