iso3_o,iso3_d,dist
ALB,HTI,8847.0
ALB,HUN,688.0
ALB,IDN,10216.0
ALB,IND,5325.0
ALB,IOT,7586.0
ALB,IRL,2359.0
ALB,IRN,2810.0
ALB,IRQ,2342.0
ALB,ISL,3676.0
ALB,ISR,1681.0
ALB,ITA,615.0
ALB,JAM,9244.0
ALB,JOR,1773.0
ALB,JPN,9510.0
ALB,KAZ,4620.0
ALB,KEN,5022.0
ALB,KGZ,4452.0
ALB,KHM,8765.0
ALB,KIR,14564.0
ALB,KNA,8148.0
ALB,KOR,8569.0
ALB,KWT,2865.0
ALB,LAO,8121.0
ALB,LBN,1606.0
ALB,LBR,4925.0
ALB,LBY,1107.0
ALB,LCA,8234.0
ALB,LIE,1045.0
ALB,LKA,7019.0
ALB,LSO,7861.0
ALB,LTU,1539.0
ALB,LUX,1408.0
ALB,LVA,1764.0
ALB,MAC,8712.0
ALB,MAR,2562.0
ALB,MCO,1052.0
ALB,MDA,958.0
ALB,MDG,7257.0
ALB,MDV,6731.0
ALB,MEX,10812.0
ALB,MHL,13914.0
ALB,MKD,154.0
ALB,MLI,4172.0
ALB,MLT,759.0
ALB,MMR,7666.0
ALB,MNE,132.0
ALB,MNG,6573.0
ALB,MNP,11647.0
ALB,MOZ,7563.0
ALB,MRT,4267.0
