iso3_d,hs92,potential_market_imports_sum
ARG,5608,1061442854.0
ARG,5609,439880001.0
ARG,5701,457484975.0
ARG,5702,2358927552.0
ARG,5703,3560093434.0
ARG,5704,260684801.0
ARG,5705,944341302.0
ARG,5801,1334611686.0
ARG,5802,88725196.0
ARG,5803,50256563.0
ARG,5804,483360080.0
ARG,5805,25588341.0
ARG,5806,2143908688.0
ARG,5807,508893218.0
ARG,5808,222398638.0
ARG,5809,18993393.0
ARG,5810,756966175.0
ARG,5811,115061203.0
ARG,5901,262133498.0
ARG,5902,1452602411.0
ARG,5903,6634425642.0
ARG,5904,187396886.0
ARG,5905,84882551.0
ARG,5906,776657108.0
ARG,5907,396756493.0
ARG,5908,21084908.0
ARG,5909,167182825.0
ARG,5910,360912333.0
ARG,5911,3334376094.0
ARG,6001,2404006841.0
ARG,6002,11884997771.0
ARG,6101,1291294003.0
ARG,6102,2462878620.0
ARG,6103,6908742343.0
ARG,6104,17521785679.0
ARG,6105,5280903562.0
ARG,6106,3310502577.0
ARG,6107,3934287701.0
ARG,6108,6648726917.0
ARG,6109,25600904112.0
ARG,6110,35784472818.0
ARG,6111,2708483826.0
ARG,6112,2374521972.0
ARG,6113,695313505.0
ARG,6114,3973471186.0
ARG,6115,6765483295.0
ARG,6116,2728816026.0
ARG,6117,1744915598.0
ARG,6201,10849517902.0
ARG,6202,15077182695.0
ARG,6203,23206543612.0
ARG,6204,36764539884.0
ARG,6205,6954914982.0
ARG,6206,6874608260.0
ARG,6207,790750984.0
ARG,6208,1835767347.0
ARG,6209,1004097754.0
ARG,6210,6155605659.0
ARG,6211,8765267894.0
ARG,6212,5685487378.0
ARG,6213,82572720.0
ARG,6214,1928806782.0
ARG,6215,265387390.0
ARG,6216,617706256.0
ARG,6217,1566989542.0
ARG,6301,2483594275.0
ARG,6302,9717962891.0
ARG,6303,2229276439.0
ARG,6304,1627920679.0
ARG,6305,3364177757.0
ARG,6306,2642899037.0
ARG,6307,10486902829.0
ARG,6308,43314269.0
ARG,6309,2263868246.0
ARG,6310,379663718.0
ARG,6401,763092276.0
ARG,6402,20288620805.0
ARG,6403,31489141786.0
ARG,6404,22954900803.0
ARG,6405,1840513274.0
ARG,6406,4902156560.0
ARG,6501,75771516.0
ARG,6502,20163302.0
ARG,6504,200036012.0
ARG,6505,4304307720.0
ARG,6506,2157388356.0
ARG,6507,272989341.0
ARG,6601,1676339753.0
ARG,6602,107467701.0
ARG,6603,252587818.0
ARG,6701,63464184.0
ARG,6702,1660017568.0
ARG,6703,284734639.0
